date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:07	210/210	---MCZ	200	added ('OK')	text/plain	date:Tue,%2011%20Nov%202025%2015:52:08%20GMT	https://www.thegamebakers.com/robots.txt		(from )
16:52:08	142707/142707	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Nov%202025%2015:52:08%20GMT	https://www.thegamebakers.com/cairn/	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/cairn/index.html	(from )
16:52:08	57121/57121	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Dec%202024%2016:37:09%20GMT	https://www.thegamebakers.com/wp-content/themes/xion-progression-child/assets/css/cairn.css?ver=1	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/themes/xion-progression-child/assets/css/cairn68b3.css	(from https://www.thegamebakers.com/cairn/)
16:52:08	116345/116345	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Jul%202025%2020:14:20%20GMT	https://www.thegamebakers.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-includes/css/dist/block-library/style.min32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:08	7196/7196	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/add-to-cart-form-style.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/add-to-cart-form-style32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:08	6290/6290	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/product-filter-price-slider-style.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/product-filter-price-slider-style32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:09	25268/25268	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/product-gallery-style.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/client/blocks/woocommerce/product-gallery-style32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:09	2894/2894	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:35:56%20GMT	https://www.thegamebakers.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://www.thegamebakers.com/cairn/)
16:52:09	19727/19727	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.9.4	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout691e.css	(from https://www.thegamebakers.com/cairn/)
16:52:09	7527/7527	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.9.4	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen691e.css	(from https://www.thegamebakers.com/cairn/)
16:52:09	85777/85777	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.9.4	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/css/woocommerce691e.css	(from https://www.thegamebakers.com/cairn/)
16:52:10	2279/2279	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.9.4	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/css/brands691e.css	(from https://www.thegamebakers.com/cairn/)
16:52:10	129363/129363	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2014:54:45%20GMT	https://www.thegamebakers.com/wp-content/themes/xion-progression/style.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/themes/xion-progression/style32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:10	1144/1144	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2014:54:45%20GMT	https://www.thegamebakers.com/wp-content/themes/xion-progression-child/style.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/themes/xion-progression-child/style32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:10	57180/57180	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2015:07:35%20GMT	https://www.thegamebakers.com/wp-content/themes/xion-progression/inc/fonts/font-awesome/css/font-awesome-5.css?ver=1.0.0	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/themes/xion-progression/inc/fonts/font-awesome/css/font-awesome-58a54.css	(from https://www.thegamebakers.com/cairn/)
16:52:11	2029/2029	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2014:56:13%20GMT	https://www.thegamebakers.com/wp-content/themes/xion-progression/css/progression_studios_custom_styles.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/themes/xion-progression/css/progression_studios_custom_styles32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:11	472715/472715	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Nov%202024%2014:58:43%20GMT	https://www.thegamebakers.com/wp-content/uploads/2024/10/testbannerguardians.jpg	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/uploads/2024/10/testbannerguardians.jpg	(from https://www.thegamebakers.com/cairn/)
16:52:11	96746/96746	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:35:54%20GMT	https://www.thegamebakers.com/wp-content/plugins/boosted-elements-progression/assets/css/frontend.min.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/boosted-elements-progression/assets/css/frontend.min32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:11	53358/53358	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:35:59%20GMT	https://www.thegamebakers.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.29.2	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/elementor/assets/css/frontend.min2801.css	(from https://www.thegamebakers.com/cairn/)
16:52:11	8031/8031	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Nov%202025%2020:11:47%20GMT	https://www.thegamebakers.com/wp-content/uploads/elementor/css/post-34.css?ver=1762287053	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/uploads/elementor/css/post-348f88.css	(from https://www.thegamebakers.com/cairn/)
16:52:12	2681/2681	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:36:07%20GMT	https://www.thegamebakers.com/wp-content/plugins/mailin/css/mailin-front.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/mailin/css/mailin-front32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:12	3095/3095	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Nov%202024%2014:54:48%20GMT	https://www.thegamebakers.com/wp-content/plugins/adaka-cookie-notice/css/front.css?ver=6.8.3	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/adaka-cookie-notice/css/front32d4.css	(from https://www.thegamebakers.com/cairn/)
16:52:12	3518/3518	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jun%202025%2007:37:24%20GMT	https://www.thegamebakers.com/wp-content/uploads/elementor/google-fonts/css/share.css?ver=1750145820	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/uploads/elementor/google-fonts/css/shared0b9.css	(from https://www.thegamebakers.com/cairn/)
16:52:12	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Nov%202024%2015:12:21%20GMT	https://www.thegamebakers.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.thegamebakers.com/cairn/)
16:52:12	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Nov%202024%2015:12:20%20GMT	https://www.thegamebakers.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.thegamebakers.com/cairn/)
16:52:13	9636/9636	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.9.4	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min9ed3.js	(from https://www.thegamebakers.com/cairn/)
16:52:13	4035/4035	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.9.4	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min691e.js	(from https://www.thegamebakers.com/cairn/)
16:52:13	1720/1720	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2017%20Jun%202025%2007:36:22%20GMT	https://www.thegamebakers.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.9.9.4	C:/Users/marne/Desktop/Setup/uhq%20grab/www.thegamebakers.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min5e52.js	(from https://www.thegamebakers.com/cairn/)
